,lncrna,gene,correlation,p_value,regulation_type,strength
28694,lncRNA_16766,FUN_026170,0.4951862916511758,0.001159656024478932,activation,0.4951862916511758
28695,lncRNA_10452,FUN_026170,0.5505479464395607,0.00023247212572765727,activation,0.5505479464395607
28696,lncRNA_1290,FUN_026170,0.4209991932994232,0.006826158077646067,activation,0.4209991932994232
28697,lncRNA_21144,FUN_026170,0.440184691584275,0.004477409142535411,activation,0.440184691584275
28698,lncRNA_14078,FUN_026170,0.7433701665563094,3.915794649443084e-08,activation,0.7433701665563094
28699,lncRNA_18650,FUN_026170,0.3609427010880748,0.022128424074510884,activation,0.3609427010880748
28700,lncRNA_33229,FUN_026170,0.4348381133082584,0.0050479196053280495,activation,0.4348381133082584
28701,lncRNA_46660,FUN_026170,0.8173398029601819,1.236131497518625e-10,activation,0.8173398029601819
28702,lncRNA_47058,FUN_026170,0.39717169086746246,0.011160805117069576,activation,0.39717169086746246
28703,lncRNA_25872,FUN_026170,0.40626836803936817,0.009288410923657474,activation,0.40626836803936817
28704,lncRNA_9176,FUN_026170,0.4148520317813598,0.007775033559667316,activation,0.4148520317813598
28705,lncRNA_30217,FUN_026170,0.7159186314821964,2.067170361121373e-07,activation,0.7159186314821964
28706,lncRNA_44612,FUN_026170,0.34153388510637894,0.03101512827498795,activation,0.34153388510637894
28707,lncRNA_53526,FUN_026170,0.5252233048036018,0.0005017152435066552,activation,0.5252233048036018
28708,lncRNA_22294,FUN_026170,0.7182224853328089,1.8112693537701239e-07,activation,0.7182224853328089
28709,lncRNA_37030,FUN_026170,0.3921274586435797,0.012331297718033027,activation,0.3921274586435797
28710,lncRNA_656,FUN_026170,0.4640468084174774,0.002560069973473202,activation,0.4640468084174774
28711,lncRNA_7561,FUN_026170,0.6537017698582213,4.791921696128851e-06,activation,0.6537017698582213
28712,lncRNA_37429,FUN_026170,0.5799078841562242,8.790678878151669e-05,activation,0.5799078841562242
28713,lncRNA_42760,FUN_026170,0.40993297898713155,0.008613989101624354,activation,0.40993297898713155
28714,lncRNA_896,FUN_026170,0.5058865681868041,0.0008679756735887858,activation,0.5058865681868041
28715,lncRNA_12204,FUN_026170,0.5153555860939504,0.0006663424274289867,activation,0.5153555860939504
28716,lncRNA_26621,FUN_026170,0.327481546184836,0.03913507079499097,activation,0.327481546184836
28717,lncRNA_10730,FUN_026170,0.5346416283647285,0.00037955791225201523,activation,0.5346416283647285
28718,lncRNA_9431,FUN_026170,0.43981647983628686,0.004514818285722659,activation,0.43981647983628686
28719,lncRNA_23635,FUN_026170,0.4267536247407216,0.006030126914039501,activation,0.4267536247407216
28720,lncRNA_43156,FUN_026170,0.36632329478566095,0.020081089552753766,activation,0.36632329478566095
28721,lncRNA_48645,FUN_026170,0.5856925766730817,7.177575095880719e-05,activation,0.5856925766730817
28722,lncRNA_24786,FUN_026170,0.3324329743681638,0.03609638762889267,activation,0.3324329743681638
28723,lncRNA_13113,FUN_026170,0.39451041407124576,0.011765955543695557,activation,0.39451041407124576
28724,lncRNA_30640,FUN_026170,0.343997410047904,0.029745968384724073,activation,0.343997410047904
28725,lncRNA_22208,FUN_026170,0.3754290234473468,0.016978065244338734,activation,0.3754290234473468
28726,lncRNA_54061,FUN_026170,0.4210755883131342,0.006815024149065226,activation,0.4210755883131342
28727,lncRNA_41033,FUN_026170,0.48227230822716183,0.0016250419469296294,activation,0.48227230822716183
28728,lncRNA_37116,FUN_026170,0.3373329275563613,0.03328210472019505,activation,0.3373329275563613
28729,lncRNA_22218,FUN_026170,0.5701274922592044,0.0001227897430772186,activation,0.5701274922592044
28730,lncRNA_36876,FUN_026170,0.5057812484860819,0.0008704944230281673,activation,0.5057812484860819
28731,lncRNA_30336,FUN_026170,0.387644922238367,0.013457455289645233,activation,0.387644922238367
28732,lncRNA_55104,FUN_026170,0.39728918574591626,0.011134711017838902,activation,0.39728918574591626
28733,lncRNA_28772,FUN_026170,0.5188805052788318,0.0006027014979815486,activation,0.5188805052788318
28734,lncRNA_22244,FUN_026170,0.7303188598307924,8.854932163517319e-08,activation,0.7303188598307924
28735,lncRNA_33251,FUN_026170,0.5059344577431377,0.0008668325272323236,activation,0.5059344577431377
28736,lncRNA_54060,FUN_026170,0.44428513210883647,0.0040786814523038305,activation,0.44428513210883647
28737,lncRNA_38415,FUN_026170,0.313885208186569,0.048564008246184925,activation,0.313885208186569
28738,lncRNA_30218,FUN_026170,0.5087958052871911,0.0008009139090215417,activation,0.5087958052871911
28739,lncRNA_8834,FUN_026170,0.43358000867831253,0.005190984347586305,activation,0.43358000867831253
28740,lncRNA_17871,FUN_026170,0.43214148314931744,0.005358861029748904,activation,0.43214148314931744
28741,lncRNA_24691,FUN_026170,0.34048361224965085,0.031569604129023675,activation,0.34048361224965085
28742,lncRNA_30320,FUN_026170,0.4342681918350619,0.005112298508883982,activation,0.4342681918350619
28743,lncRNA_54012,FUN_026170,0.38176801152840467,0.015065043817954602,activation,0.38176801152840467
28744,lncRNA_10141,FUN_026170,0.4714492144987198,0.0021348874180070095,activation,0.4714492144987198
28745,lncRNA_37496,FUN_026170,0.35714230399870106,0.023677127957139246,activation,0.35714230399870106
28746,lncRNA_52478,FUN_026170,0.5101201242558913,0.0007719448112582056,activation,0.5101201242558913
28747,lncRNA_45037,FUN_026170,0.5744320785910647,0.00010613267626160283,activation,0.5744320785910647
28748,lncRNA_44476,FUN_026170,0.5145770526344862,0.0006811814765271306,activation,0.5145770526344862
28749,lncRNA_44697,FUN_026170,0.39413799038680963,0.01185282849744596,activation,0.39413799038680963
28750,lncRNA_29697,FUN_026170,0.4802321628108593,0.0017119786907911652,activation,0.4802321628108593
28751,lncRNA_28497,FUN_026170,0.34920654214830277,0.027203118749895127,activation,0.34920654214830277
28752,lncRNA_26562,FUN_026170,0.4851104629489192,0.001510588634468749,activation,0.4851104629489192
28753,lncRNA_48654,FUN_026170,0.4331840769171045,0.0052367286990518645,activation,0.4331840769171045
28754,lncRNA_938,FUN_026170,0.4123524282528333,0.008192121112616154,activation,0.4123524282528333
28755,lncRNA_2446,FUN_026170,0.6742533922523337,1.8428104737402028e-06,activation,0.6742533922523337
28756,lncRNA_43077,FUN_026170,0.4138696267147035,0.007936728429024958,activation,0.4138696267147035
28757,lncRNA_35462,FUN_026170,0.3255312518359192,0.040387792048725724,activation,0.3255312518359192
28758,lncRNA_8402,FUN_026170,0.4010215463838231,0.010332435246229224,activation,0.4010215463838231
28759,lncRNA_51332,FUN_026170,0.41294895166285733,0.008090877733930912,activation,0.41294895166285733
28760,lncRNA_948,FUN_026170,0.41326055302908904,0.008038420680059109,activation,0.41326055302908904
28761,lncRNA_51597,FUN_026170,0.6851785752445118,1.0748341352573878e-06,activation,0.6851785752445118
28762,lncRNA_44474,FUN_026170,0.5372350874077191,0.0003509805121018687,activation,0.5372350874077191
28763,lncRNA_26004,FUN_026170,0.4306586758965158,0.0055368088127039595,activation,0.4306586758965158
28764,lncRNA_48940,FUN_026170,0.3120239887667995,0.04998637607616215,activation,0.3120239887667995
28765,lncRNA_15085,FUN_026170,0.38677147218640845,0.013686752446820586,activation,0.38677147218640845
28766,lncRNA_8578,FUN_026170,0.4352107199697402,0.005006210791961772,activation,0.4352107199697402
28767,lncRNA_8931,FUN_026170,0.49386264286108483,0.0012011915680684145,activation,0.49386264286108483
28768,lncRNA_3298,FUN_026170,0.4385327211915767,0.004647377135807187,activation,0.4385327211915767
28769,lncRNA_21930,FUN_026170,0.41879103956400393,0.007154827022278386,activation,0.41879103956400393
28770,lncRNA_37337,FUN_026170,0.567745586376524,0.00013299024730975887,activation,0.567745586376524
28771,lncRNA_8642,FUN_026170,0.5170712968548334,0.0006346538120641857,activation,0.5170712968548334
28772,lncRNA_8456,FUN_026170,0.4350354299396567,0.005025795001521076,activation,0.4350354299396567
28773,lncRNA_28854,FUN_026170,0.39760967559371174,0.011063798560879358,activation,0.39760967559371174
28774,lncRNA_45132,FUN_026170,0.5805187006006254,8.606053777298413e-05,activation,0.5805187006006254
28775,lncRNA_27861,FUN_026170,0.3964584486407323,0.011320328093560731,activation,0.3964584486407323
28776,lncRNA_44481,FUN_026170,0.5486130211813767,0.00024708215818164425,activation,0.5486130211813767
28777,lncRNA_40525,FUN_026170,0.4391218837032111,0.004586127184438421,activation,0.4391218837032111
28778,lncRNA_29137,FUN_026170,0.34476366011697435,0.029360063697473387,activation,0.34476366011697435
28779,lncRNA_25675,FUN_026170,0.43785889780102566,0.004718298575384926,activation,0.43785889780102566
28780,lncRNA_13445,FUN_026170,0.5612029179686427,0.00016506918534851112,activation,0.5612029179686427
28781,lncRNA_33003,FUN_026170,0.4319366896571236,0.005383138931329011,activation,0.4319366896571236
28782,lncRNA_8717,FUN_026170,0.3535865219625566,0.025206853139483357,activation,0.3535865219625566
28783,lncRNA_21450,FUN_026170,0.3884844621256489,0.01324013864483413,activation,0.3884844621256489
28784,lncRNA_20025,FUN_026170,0.7606782633394867,1.2273806777162623e-08,activation,0.7606782633394867
28785,lncRNA_29808,FUN_026170,0.5928663918324303,5.551867906148538e-05,activation,0.5928663918324303
28786,lncRNA_35299,FUN_026170,0.45639375937701765,0.003076049029258313,activation,0.45639375937701765
28787,lncRNA_34899,FUN_026170,0.5576323976973142,0.00018537840376678816,activation,0.5576323976973142
28788,lncRNA_38060,FUN_026170,0.511267284317255,0.000747609227175811,activation,0.511267284317255
28789,lncRNA_30333,FUN_026170,0.4272240629375747,0.00596875290098042,activation,0.4272240629375747
28790,lncRNA_22315,FUN_026170,0.36912937670690055,0.019077910682401514,activation,0.36912937670690055
28791,lncRNA_21909,FUN_026170,0.32220828475728064,0.04259725214811585,activation,0.32220828475728064
28792,lncRNA_20155,FUN_026170,0.7080467044092533,3.2162610850506544e-07,activation,0.7080467044092533
28793,lncRNA_38457,FUN_026170,0.49200538054843984,0.0012616935131395974,activation,0.49200538054843984
28794,lncRNA_27315,FUN_026170,0.3162251679641957,0.04682225620627014,activation,0.3162251679641957
28795,lncRNA_41111,FUN_026170,0.42726020876958715,0.005964059688957843,activation,0.42726020876958715
28796,lncRNA_37327,FUN_026170,0.5672601688524259,0.0001351606589628675,activation,0.5672601688524259
28797,lncRNA_36556,FUN_026170,0.32879157103885254,0.03831152878462126,activation,0.32879157103885254
28798,lncRNA_54056,FUN_026170,0.3906556145668329,0.012691890959566899,activation,0.3906556145668329
28799,lncRNA_26003,FUN_026170,0.42999789430559715,0.005617741167542602,activation,0.42999789430559715
28800,lncRNA_33406,FUN_026170,0.5188587835108784,0.0006030764440984283,activation,0.5188587835108784
28801,lncRNA_38501,FUN_026170,0.40773912009022084,0.009012496856638363,activation,0.40773912009022084
28802,lncRNA_52138,FUN_026170,0.3793440671696937,0.01577385093242297,activation,0.3793440671696937
28803,lncRNA_27791,FUN_026170,0.35232611347963366,0.025768422769980315,activation,0.35232611347963366
28804,lncRNA_8467,FUN_037162,0.3545954420279249,0.024764692403145584,activation,0.3545954420279249
28805,lncRNA_46389,FUN_037162,0.5358034599109962,0.0003665073619028108,activation,0.5358034599109962
28806,lncRNA_13320,FUN_037162,0.5885457579413991,6.485333580113787e-05,activation,0.5885457579413991
28807,lncRNA_16766,FUN_037162,0.5480141479611967,0.0002517685823415151,activation,0.5480141479611967
28808,lncRNA_25499,FUN_037162,0.3433470153051391,0.030076800314511393,activation,0.3433470153051391
28809,lncRNA_248,FUN_037162,0.32308969743040544,0.04200185477748277,activation,0.32308969743040544
28810,lncRNA_51620,FUN_037162,0.3334569549800681,0.03549271825266602,activation,0.3334569549800681
28811,lncRNA_27011,FUN_037162,-0.3145889528830633,0.048034771532796214,repression,0.3145889528830633
28812,lncRNA_35336,FUN_037162,0.40238827505944064,0.010051269809587296,activation,0.40238827505944064
28813,lncRNA_14078,FUN_037162,0.3549906578134074,0.024593254964296388,activation,0.3549906578134074
28814,lncRNA_51181,FUN_037162,0.3459670908991635,0.02876233253565592,activation,0.3459670908991635
28815,lncRNA_9386,FUN_037162,0.7093233615799748,2.9966941410269033e-07,activation,0.7093233615799748
28816,lncRNA_47625,FUN_037162,0.3210015125763174,0.04342352131044359,activation,0.3210015125763174
28817,lncRNA_22294,FUN_037162,0.35637901551424817,0.023998812760405157,activation,0.35637901551424817
28818,lncRNA_7561,FUN_037162,0.33725297361939693,0.03332653524866716,activation,0.33725297361939693
28819,lncRNA_48740,FUN_037162,0.41747135166774335,0.007357689383493843,activation,0.41747135166774335
28820,lncRNA_37429,FUN_037162,0.6682000888172035,2.4606956256360185e-06,activation,0.6682000888172035
28821,lncRNA_41114,FUN_037162,0.3885920660211403,0.013212501606886052,activation,0.3885920660211403
28822,lncRNA_34968,FUN_037162,0.5150129992478636,0.0006728363243797995,activation,0.5150129992478636
28823,lncRNA_42760,FUN_037162,0.3412158598317165,0.03118217163063015,activation,0.3412158598317165
28824,lncRNA_13300,FUN_037162,0.4155706583220686,0.007658555256589791,activation,0.4155706583220686
28825,lncRNA_51358,FUN_037162,0.3140589112598137,0.048432943657675455,activation,0.3140589112598137
28826,lncRNA_1241,FUN_037162,-0.3266133294998985,0.03968877903186921,repression,0.3266133294998985
28827,lncRNA_48645,FUN_037162,0.4038486671707798,0.009758087058747403,activation,0.4038486671707798
28828,lncRNA_25940,FUN_037162,0.4558225059460897,0.0031179783091568936,activation,0.4558225059460897
28829,lncRNA_30640,FUN_037162,0.3501917866378733,0.026743026481748967,activation,0.3501917866378733
28830,lncRNA_41033,FUN_037162,0.4376509192256845,0.00474037777890425,activation,0.4376509192256845
28831,lncRNA_28592,FUN_037162,-0.31458438836228647,0.048038189139194054,repression,0.31458438836228647
28832,lncRNA_36876,FUN_037162,0.3762078187138255,0.01673253917063106,activation,0.3762078187138255
28833,lncRNA_30336,FUN_037162,0.31872454032905556,0.045017923934760264,activation,0.31872454032905556
28834,lncRNA_45071,FUN_037162,0.3486471828390216,0.027467234299363763,activation,0.3486471828390216
28835,lncRNA_35376,FUN_037162,0.4211668967834803,0.006801737254360576,activation,0.4211668967834803
28836,lncRNA_1126,FUN_037162,0.338856221438549,0.03244485698395729,activation,0.338856221438549
28837,lncRNA_28772,FUN_037162,0.49981890286323144,0.0010241323059371576,activation,0.49981890286323144
28838,lncRNA_54060,FUN_037162,0.4850215133483522,0.0015140645642588587,activation,0.4850215133483522
28839,lncRNA_38415,FUN_037162,0.49158279875049904,0.0012758306666163972,activation,0.49158279875049904
28840,lncRNA_6972,FUN_037162,0.4055016429550808,0.00943509497611202,activation,0.4055016429550808
28841,lncRNA_51179,FUN_037162,0.3459670908991635,0.02876233253565592,activation,0.3459670908991635
28842,lncRNA_37667,FUN_037162,0.3922244566134752,0.012307842809619765,activation,0.3922244566134752
28843,lncRNA_4084,FUN_037162,0.3253501825446524,0.04050573381316101,activation,0.3253501825446524
28844,lncRNA_41398,FUN_037162,-0.3231756438021128,0.0419441611866408,repression,0.3231756438021128
28845,lncRNA_30218,FUN_037162,0.45531424641309115,0.0031557033217374988,activation,0.45531424641309115
28846,lncRNA_17865,FUN_037162,0.3937846511599409,0.011935753700118514,activation,0.3937846511599409
28847,lncRNA_8834,FUN_037162,0.5955879608003944,5.0283611791219294e-05,activation,0.5955879608003944
28848,lncRNA_17871,FUN_037162,0.40908861849242256,0.008765537994989695,activation,0.40908861849242256
28849,lncRNA_19838,FUN_037162,0.3133748655640402,0.0489507325434316,activation,0.3133748655640402
28850,lncRNA_54012,FUN_037162,0.6424031595867264,7.864191205507012e-06,activation,0.6424031595867264
28851,lncRNA_37496,FUN_037162,0.5267694748953392,0.00047951841614487156,activation,0.5267694748953392
28852,lncRNA_45037,FUN_037162,0.3610720405673479,0.022077241749242395,activation,0.3610720405673479
28853,lncRNA_28497,FUN_037162,0.3197904615524117,0.044265736080563056,activation,0.3197904615524117
28854,lncRNA_28433,FUN_037162,0.3642198784885989,0.020861710425779705,activation,0.3642198784885989
28855,lncRNA_297,FUN_037162,0.5446772132472298,0.0002793763559351009,activation,0.5446772132472298
28856,lncRNA_47626,FUN_037162,0.32152095059630253,0.043066286672960745,activation,0.32152095059630253
28857,lncRNA_267,FUN_037162,0.339022988258549,0.03235425807086281,activation,0.339022988258549
28858,lncRNA_36999,FUN_037162,0.5077172148362157,0.0008252186801705803,activation,0.5077172148362157
28859,lncRNA_9146,FUN_037162,0.3574945748050111,0.023529880227542887,activation,0.3574945748050111
28860,lncRNA_43077,FUN_037162,0.4016951261741262,0.01019303725518382,activation,0.4016951261741262
28861,lncRNA_8402,FUN_037162,0.7486172514477417,2.7819729215419497e-08,activation,0.7486172514477417
28862,lncRNA_948,FUN_037162,0.45992515061291805,0.0028276323603580048,activation,0.45992515061291805
28863,lncRNA_28664,FUN_037162,0.47584070800305267,0.0019131597145348957,activation,0.47584070800305267
28864,lncRNA_51597,FUN_037162,0.48885689404344584,0.001370442752258192,activation,0.48885689404344584
28865,lncRNA_26004,FUN_037162,0.4853043393036592,0.0015030368545754578,activation,0.4853043393036592
28866,lncRNA_15085,FUN_037162,0.6563584582342897,4.252310648079885e-06,activation,0.6563584582342897
28867,lncRNA_8931,FUN_037162,0.33488195766877926,0.03466641343378382,activation,0.33488195766877926
28868,lncRNA_20229,FUN_037162,0.3856499993290531,0.013986008097146105,activation,0.3856499993290531
28869,lncRNA_8456,FUN_037162,0.5486793045317955,0.00024656831853280887,activation,0.5486793045317955
28870,lncRNA_37117,FUN_037162,0.4254231379841654,0.006206666058154487,activation,0.4254231379841654
28871,lncRNA_30445,FUN_037162,0.41238307196761625,0.00818689380727842,activation,0.41238307196761625
