,feature1,feature2,correlation,p_value
236,FUN_023201,lncRNA_6972,0.1148101186260642,0.48053920443931447
237,FUN_023201,lncRNA_13752,-0.14521330753825398,0.37130116114574446
238,FUN_023201,lncRNA_7486,0.39933420270791675,0.010688798654030787
239,FUN_023201,lncRNA_3332,0.18032735534626695,0.26550070892992955
240,FUN_023201,lncRNA_38731,0.29016085128025965,0.06933306424108743
241,FUN_023201,lncRNA_43357,-0.1459816718831925,0.3687481992623213
242,FUN_023201,lncRNA_30345,-0.30720642604799553,0.05382410759259934
243,FUN_023201,lncRNA_19589,0.1189823483409293,0.4646252078371423
244,FUN_023201,lncRNA_19899,-0.2678441097121597,0.0947284920543988
245,FUN_023201,lncRNA_18370,-0.08951527209376584,0.582801911396897
246,FUN_023201,lncRNA_8599,0.2491706749567451,0.12102359236249573
247,FUN_023201,lncRNA_35740,-0.19666487730985355,0.22387158278737815
248,FUN_023201,lncRNA_42994,0.18034781372088263,0.265445578833064
249,FUN_023201,lncRNA_23818,0.1633750735885431,0.3137915733821968
250,FUN_023201,lncRNA_51221,0.29077192782752403,0.06872208670929214
251,FUN_023201,lncRNA_3431,0.2547744980378914,0.11261525915716561
252,FUN_023201,lncRNA_18396,-0.04860829385976554,0.7658150032272838
253,FUN_023201,lncRNA_2968,0.14115584854768537,0.3849561498182142
254,FUN_023201,lncRNA_19949,-0.10772500845726292,0.5082033105632524
255,FUN_023201,lncRNA_8833,-0.05537171101092282,0.7343407398149036
256,FUN_023201,lncRNA_6995,0.42411110934767793,0.00638511077704893
257,FUN_023201,lncRNA_21641,0.13793703607027055,0.39599537988658795
258,FUN_023201,lncRNA_2884,-0.011365572132984057,0.9445080764177867
259,FUN_023201,lncRNA_7220,-0.3712383096175558,0.01835193840619127
260,FUN_023201,lncRNA_2924,-0.35066759689410987,0.026523151407112103
261,FUN_023201,lncRNA_39145,-0.2242108855771735,0.16427119385317185
262,FUN_023201,lncRNA_38266,0.4333162087451662,0.005221424029266364
263,FUN_023201,lncRNA_37631,0.1455649742834136,0.37013141210636863
264,FUN_023201,lncRNA_22636,0.352534083889239,0.025675053633826116
265,FUN_023201,lncRNA_19909,-0.21571012376835227,0.18128460578842628
266,FUN_023201,lncRNA_28508,0.1620489084242396,0.3177893537336414
267,FUN_023201,lncRNA_32791,0.20752730998051577,0.1988131477884106
268,FUN_023201,lncRNA_18122,0.20968576028904917,0.19407823547653966
269,FUN_023201,lncRNA_7601,0.05499476063452407,0.736084222366634
270,FUN_023201,lncRNA_18348,-0.061276683732647434,0.7072054040600301
271,FUN_023201,lncRNA_54343,0.32257773579290533,0.04234685823351423
272,FUN_023201,lncRNA_22448,0.3155001175745018,0.04735646836614503
